match_id,season,team,player,runs,balls_faced,fours,sixes,strike_rate,wickets,balls_bowled,runs_conceded,overs_display,overs_math,economy
1082596,10,srh,NV Ojha,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
1082596,10,srh,Bipul Sharma,0,0,0,0,0.0,0,24,24,4.0,4.0,6.0
1082596,10,srh,B Kumar,0,0,0,0,0.0,2,24,21,4.0,4.0,5.25
1082596,10,srh,A Nehra,0,0,0,0,0.0,1,24,27,4.0,4.0,6.75
1082596,10,srh,Rashid Khan,0,0,0,0,0.0,3,24,19,4.0,4.0,4.75
1082597,10,kkr,G Gambhir,19,13,3,0,146.15,0,0,0,0.0,0.0,0.0
1082597,10,kkr,CA Lynn,32,22,3,1,145.45,0,0,0,0.0,0.0,0.0
1082597,10,kkr,RV Uthappa,4,3,1,0,133.33,0,0,0,0.0,0.0,0.0
1082597,10,kkr,MK Pandey,81,46,5,5,176.09,0,0,0,0.0,0.0,0.0
1082597,10,kkr,YK Pathan,6,11,0,0,54.55,0,0,0,0.0,0.0,0.0
1082597,10,kkr,SA Yadav,17,15,2,0,113.33,0,0,0,0.0,0.0,0.0
1082597,10,kkr,CR Woakes,9,8,0,0,112.5,1,24,34,4.0,4.0,8.5
1082597,10,kkr,SP Narine,1,2,0,0,50.0,1,24,22,4.0,4.0,5.5
1082597,10,kkr,Kuldeep Yadav,0,0,0,0,0.0,1,24,35,4.0,4.0,8.75
1082597,10,kkr,AS Rajpoot,0,0,0,0,0.0,3,24,37,4.0,4.0,9.25
1082597,10,kkr,TA Boult,0,0,0,0,0.0,0,23,47,3.5,3.83,12.27
1082597,10,mi,PA Patel,30,27,3,1,111.11,0,0,0,0.0,0.0,0.0
1082597,10,mi,JC Buttler,28,22,1,2,127.27,0,0,0,0.0,0.0,0.0
1082597,10,mi,N Rana,50,29,5,3,172.41,0,0,0,0.0,0.0,0.0
1082597,10,mi,RG Sharma,2,6,0,0,33.33,0,0,0,0.0,0.0,0.0
1082597,10,mi,KH Pandya,11,6,2,0,183.33,3,24,24,4.0,4.0,6.0
1082597,10,mi,KA Pollard,17,17,1,1,100.0,0,0,0,0.0,0.0,0.0
1082597,10,mi,HH Pandya,29,11,3,2,263.64,0,0,0,0.0,0.0,0.0
1082597,10,mi,Harbhajan Singh,1,1,0,0,100.0,0,24,27,4.0,4.0,6.75
1082597,10,mi,MJ McClenaghan,0,0,0,0,0.0,1,25,51,4.1,4.17,12.23
1082597,10,mi,SL Malinga,0,0,0,0,0.0,2,24,36,4.0,4.0,9.0
1082597,10,mi,JJ Bumrah,0,0,0,0,0.0,1,26,39,4.2,4.33,9.01
1082598,10,pk,M Vohra,34,21,4,1,161.9,0,0,0,0.0,0.0,0.0
1082598,10,pk,HM Amla,58,38,4,3,152.63,0,0,0,0.0,0.0,0.0
1082598,10,pk,AR Patel,9,6,0,1,150.0,1,24,12,4.0,4.0,3.0
1082598,10,pk,GJ Maxwell,43,22,3,4,195.45,0,0,0,0.0,0.0,0.0
1082598,10,pk,WP Saha,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
1082598,10,pk,DA Miller,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
1082598,10,pk,MP Stoinis,0,0,0,0,0.0,0,18,28,3.0,3.0,9.33
1082598,10,pk,MM Sharma,0,0,0,0,0.0,0,24,47,4.0,4.0,11.75
1082598,10,pk,Sandeep Sharma,0,0,0,0,0.0,1,24,26,4.0,4.0,6.5
1082598,10,pk,VR Aaron,0,0,0,0,0.0,2,24,21,4.0,4.0,5.25
1082598,10,pk,T Natarajan,0,0,0,0,0.0,0,6,13,1.0,1.0,13.0
1082598,10,rcb,SR Watson,1,4,0,0,25.0,0,12,28,2.0,2.0,14.0
1082598,10,rcb,Vishnu Vinod,7,12,1,0,58.33,0,0,0,0.0,0.0,0.0
1082598,10,rcb,AB de Villiers,89,46,3,9,193.48,0,0,0,0.0,0.0,0.0
1082598,10,rcb,KM Jadhav,1,4,0,0,25.0,0,0,0,0.0,0.0,0.0
1082598,10,rcb,Mandeep Singh,28,34,1,1,82.35,0,0,0,0.0,0.0,0.0
1082598,10,rcb,STR Binny,18,20,1,1,90.0,0,0,0,0.0,0.0,0.0
1082598,10,rcb,P Negi,0,0,0,0,0.0,0,6,7,1.0,1.0,7.0
1082598,10,rcb,Iqbal Abdulla,0,0,0,0,0.0,0,12,19,2.0,2.0,9.5
1082598,10,rcb,TS Mills,0,0,0,0,0.0,1,12,22,2.0,2.0,11.0
1082598,10,rcb,B Stanlake,0,0,0,0,0.0,0,24,41,4.0,4.0,10.25
1082598,10,rcb,YS Chahal,0,0,0,0,0.0,1,21,29,3.3,3.5,8.29
1082599,10,dc,AP Tare,0,5,0,0,0.0,0,0,0,0.0,0.0,0.0
